Feature_1,systolic,region,systolic
Label_1,,,
Feature_2,h_41,systolic,dp_69
Label_2,masrafe panir,,"taghire dar diet student, kahesh meghdar charbi"
Feature_3,gh_129_3,ap_15,gh_132
Label_3,mizane rezayat va mokhalefat az narahat shodan az saro sedaye hamsaye,weight pedar dar hemgam ezdevaj,"dar 12 mah gozashte, estefade ruzane az mobile baraye sms, game,internet"
Feature_4,gh_132,gh_132,s_120
Label_4,"dar 12 mah gozashte, estefade ruzane az mobile baraye sms, game,internet","dar 12 mah gozashte, estefade ruzane az mobile baraye sms, game,internet",nahve arzehsyabi shoma dar sale gozashte
Feature_5,region,h_39,bp_32_3
Label_5,,masrafe shir,"sabegheye hypertention, pedar ya madar bozorg"
Feature_6,s_116,ap_5,diastoli
Label_6,"elate edame masraf dokhaniat, tafrih va sargarmi",job pedar,
Feature_7,University,ap_12,fbs
Label_7,,nesbate shoma ba hamsar,
Feature_8,z_56_3,h_24,gh_131
Label_8,"dar ruz 2shanbe hafte gozashte, mizane faaliate badani k baase aragh kardan ya k",khordane nahar dar tule hafte,"dar 12 mah gozashte, sohbat ruzane ba mobile"
Feature_9,hp_85,ap_23,University
Label_9,masrafe bishtar mavad ghazai dar ruzhaye tatil,chandomin farzande khanevadeh,
Feature_10,v127_2_3,b_7,l_75_4
Label_10,"dar 12 mah gozashte, dar 1 hafte chand saate vaght gozarandeh, tabestan, jangal,",dashtan barnameh baraye taghire vazn,ghelyan keshidan other
Feature_11,ap_16,dp_54,m_77
Label_11,weight madar dar hemgam ezdevaj,"masrafe farzand, potato",ehsas dar morede dar mian gozashtan moshkelat ba pedar
Feature_12,diastoli,v_46,s_121
Label_12,,mesvak zadan dandan,moadel shoma dar sale gozashte
Feature_13,bp_35_3,h_57,h_44_3
Label_13,"obesity, pedar ya madar bozorg","dar tule hafte, chand saate dar ruz tv mibinid",chand ghashogh shekar ba har estekan chay
Feature_14,h_33,gh_131,f_123
Label_14,masrafe nushabe rezhimi,"dar 12 mah gozashte, sohbat ruzane ba mobile",mavajehe ba nure khorshid dar ruz adi
Feature_15,gh_130,m_79,h_37
Label_15,mizane aziyat shodan az saro seda dar khane,ehsas dar morede dar mian gozashtan moshkelat ba baradar,masrafe ab mive baste bandi shode
Feature_16,s_117,a_1,parental
Label_16,"elate edame masraf dokhaniat, faramushi moshkelat",tedad dust samimi,parental age
Feature_17,dp_58,diastoli,dp_70
Label_17,"masrafe farzand, nushabe rezhimi",,"taghire dar diet student, masrafe liquid oil be jaye soli oil"
Feature_18,chol,bp_32_3,hp_92_3
Label_18,,"sabegheye hypertention, pedar ya madar bozorg","darkhast shoma az fardi baraye ghaza khordan ba shoma,student"
Feature_19,s_114,numberch,hp_86
Label_19,"elate edame masraf dokhaniat, ehsas etemad b nafs",tedad farzandan khanevadeh,mahele negah dari tabagholat da r khaneh
Feature_20,y_70,gh_129_4,hp_79_3
Label_20,dar giri dustan ba che kasi bude ast,mizane rezayat va mokhalefat az gush kardan b sedaha bedun moshkel,"sar raftan hosele dar zaman tanhayi, student"
